"","SYMBOL","ENTREZID","R"
"1","ZZZ3","26009",-0.0733134331535825
"2","ZZEF1","23140",0.122816413538549
"3","ZYX","7791",0.116037481516006
"5","ZYG11B","79699",0.175148863690018
"6","ZYG11A","440590",-0.170027699514053
"7","ZXDC","79364",0.281774723429264
"8","ZXDB","158586",-0.0152596970014633
"9","ZXDA","7789",0.396601525076996
"10","ZWINT","11130",-0.190300172475579
"11","ZWILCH","55055",0.578592311909536
"12","ZW10","9183",0.342295208096843
"13","ZSWIM4","65249",-0.0545824834853275
"14","ZSWIM3","140831",0.389445786208529
"15","ZSWIM2","151112",-0.235059769665074
"16","ZSWIM1","90204",0.0323060610658669
"18","ZSCAN4","201516",-0.373640747077356
"19","ZSCAN2","54993",0.221048064102804
"20","ZSCAN1","284312",-0.0279952549635627
"22","ZRANB3","84083",0.0177932461674653
"23","ZRANB1","54764",-0.0900181028363917
"24","ZPLD1","131368",-0.0264639628968279
"25","ZPBP2","124626",0.0518360055035554
"26","ZPBP","11055",-0.143646194296975
"27","ZP4","57829",0.0768440268901974
"28","ZP3","7784",0.139009244034977
"29","ZP2","7783",-0.241111061771223
"30","ZP1","22917",0.215625172693538
"31","ZNRF4","148066",-0.0362764141752986
"32","ZNRF2","223082",-0.0791847248947109
"33","ZNRF1","84937",-0.358713136903539
"36","ZNHIT3","9326",0.287681236862619
"37","ZNHIT2","741",0.36392107423429
"38","ZNHIT1","10467",0.226759277066895
"39","ZNFX1","57169",0.0222269096062559
"45","ZNF99","7652",-0.272100103742693
"47","ZNF93","81931",-0.282084656793946
"48","ZNF92","168374",-0.347246703340158
"49","ZNF91","7644",-0.211115226047121
"50","ZNF85","7639",-0.182578841439808
"51","ZNF83","55769",-0.03278055212043
"52","ZNF81","347344",0.381494790089764
"53","ZNF808","388558",0.0685938891445732
"54","ZNF805","390980",-0.155772147898037
"55","ZNF80","7634",0.302996887745306
"56","ZNF8","7554",-0.0141905669949988
"57","ZNF79","7633",0.0741852942793977
"58","ZNF781","163115",-0.0436065027513414
"59","ZNF77","58492",0.27551796407803
"61","ZNF765","91661",-0.108532583922348
"62","ZNF76","7629",0.169981921848768
"63","ZNF75A","7627",-0.236013504854316
"65","ZNF749","388567",-0.196372570075508
"66","ZNF740","283337",0.0859387337131067
"67","ZNF74","7625",0.354928414320571
"68","ZNF721","170960",-0.230517217958001
"69","ZNF718","255403",-0.198236853410243
"70","ZNF714","148206",-0.0801151438950514
