"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04740","hsa04740","Olfactory transduction",393,-0.349550703708007,-2.05682523992811,1e-10,3.38e-08,2.92631578947368e-08,4112,"tags=41%, list=30%, signal=29%","OR13J1/OR2T12/OR51G2/OR4C6/OR9Q1/OR4L1/PDE1A/OR6B1/OR1J2/OR6K2/OR2A25/OR2T6/OR6A2/OR8D4/OR5AC2/OR51G1/OR5J2/OR5B12/OR3A1/OR1A2/OR1L6/OR4C13/OR4K1/CALML5/OR4D9/OR2A5/OR8K5/OR4C45/OR5T1/CNGA3/OR51I1/OR1S2/OR4Q3/OR6B2/OR4F5/OR52R1/OR9G1/OR1F1/OR2T8/OR4D1/OR51Q1/OR6Q1/OR6C75/OR2B6/OR8H3/OR4D2/OR5B17/OR7D4/OR1L1/OR51F1/OR9Q2/OR5H2/OR2T11/OR6N2/SLC8A2/OR52M1/OR10H4/OR5K2/OR2M2/OR4F21/OR2T5/OR8U1/OR6X1/OR8U9/OR1L8/OR5A2/OR2AG2/OR2H1/OR13C9/OR4C3/OR13C4/OR6M1/OR10T2/OR6K6/OR10J5/OR51B6/OR56A1/OR2T33/OR2F2/OR4C46/OR4K13/OR4N4/OR8D1/OR5T2/OR6V1/OR10AD1/OR5H15/OR8U8/OR2AG1/OR9K2/CALML3/OR1I1/OR10K2/PRKACA/OR8B3/ARRB1/CAMK2A/OR1N1/OR10P1/OR11H4/OR8A1/OR8D2/OR51E2/OR2D3/OR6F1/OR52A1/OR2A2/OR13C5/OR2W3/OR52B2/OR10G7/CNGA4/OR9I1/PRKG1/OR9A2/OR1J1/OR4D5/OR6B3/PDE1C/OR52H1/OR5AU1/OR4K15/OR4N5/OR4C11/OR1S1/OR2T3/OR5H1/RGS2/CALML4/OR8J1/OR52N2/OR10A7/OR11L1/OR8K3/OR7A5/OR51B2/OR10Z1/OR52N5/OR9G4/OR13C8/OR1L4/ARRB2/OR2A12/OR51A4/PRKACG/CNGB1/OR4K2/OR10Q1/OR52D1/OR52B6/OR52N1/OR2T27/OR5I1/GNG13/OR5B2/OR5M11/OR2H2/OR4D6/OR51S1/OR52E6"
"hsa03050","hsa03050","Proteasome",43,0.581646869199692,2.19168508670867,5.34624258314424e-06,0.000903514996551377,0.000782239704270579,2556,"tags=53%, list=19%, signal=44%","PSMD9/PSMD7/PSMB5/PSMC1/PSMB3/PSMB6/PSMD12/PSMB4/PSMC2/PSMB2/PSMA1/PSMD3/PSMB8/PSMA5/PSME1/PSMA6/PSMB7/PSMC4/PSMB9/PSMD6/PSMD2/PSMB1/PSMB10"
"hsa05014","hsa05014","Amyotrophic lateral sclerosis",280,0.330041310869856,1.68026354876224,2.28152384990082e-05,0.00257051687088826,0.00222548642200852,2545,"tags=30%, list=19%, signal=25%","PIK3R4/NUP37/ACTG1/PSMD9/NDUFB8/PSMD7/CYCS/PSMB5/COX4I1/NXT1/NUP85/PSMC1/PSMB3/PSMB6/PSMD12/PSMB4/DCTN2/NDUFV2/NDUFS8/PSMC2/NDUFA12/HSPA5/PSMB2/UQCRFS1/PPP3CB/NDUFA9/NUP62/PSMA1/PSMD3/NDUFA1/COX5B/NDUFV1/NDUFA7/TRAF2/BCL2/PFN1/NDUFB7/NDUFA8/PSMA5/NDUFB5/CYC1/ANXA7/NUP188/PSMA6/PSMB7/SEH1L/ITPR3/NUP35/COX8A/NDUFA11/ACTR1B/MAPK13/UQCRC1/ACTR10/PPP3CC/NUP133/NUP155/NUP205/PSMC4/UBQLN4/RAE1/PSMD6/DCTN3/DERL1/COX5A/ERN1/KIF5B/XBP1/TBK1/NUP93/PSMD2/NUP210/COX7A2/VDAC1/ALS2/CASP1/NDUFS3/NUP160/DNAL4/COX7C/HAP1/ATXN2/PSMB1"
"hsa05012","hsa05012","Parkinson disease",212,0.355586809528242,1.75685341479974,3.19410393324524e-05,0.00269901782359223,0.00233673919326888,2243,"tags=30%, list=16%, signal=25%","SLC39A9/PSMD9/MAPK9/NDUFB8/SLC39A11/PSMD7/CAMK2D/CYCS/PSMB5/VDAC3/COX4I1/PARK7/PSMC1/PSMB3/PSMB6/PSMD12/PSMB4/NDUFV2/NDUFS8/PSMC2/NDUFA12/HSPA5/SLC39A14/PSMB2/UQCRFS1/NDUFA9/PSMA1/PSMD3/NDUFA1/UBE2G2/COX5B/UBE2J2/NDUFV1/NDUFA7/CALM1/NDUFB7/SLC11A2/NDUFA8/ITPR1/SLC18A1/PSMA5/NDUFB5/CYC1/PSMA6/PSMB7/ITPR3/COX8A/PRKACB/NDUFA11/UQCRC1/SLC25A4/PSMC4/PSMD6/SLC25A5/COX5A/ERN1/KIF5B/XBP1/ADCY5/PSMD2/UBE2L6/COX7A2/VDAC1"
"hsa01240","hsa01240","Biosynthesis of cofactors",129,0.396923807135048,1.82741270258751,4.88709830833658e-05,0.00281182712360314,0.00243440654114504,3299,"tags=40%, list=24%, signal=31%","GGCX/PMM1/TPK1/COQ5/NQO1/CTPS2/GUSB/KMO/AK2/RDH13/AK3/COQ3/LIPT1/MOCS2/GPHN/GMPPB/PANK2/MTHFD2/NME3/PANK1/NME7/ADSL/COQ6/GMPPA/NME1/UGP2/MTHFD1L/QPRT/GSS/PDXP/FLAD1/AK5/VKORC1/COQ2/MAT2A/DHRS3/SPR/UGT2B10/COX10/BCAT1/CAD/NME6/PDXK/PSAT1/SHMT1/MPI/MTHFD2L/OXSM/SHMT2/PNPO/BCAT2/DHODH"
"hsa04110","hsa04110","Cell cycle",135,0.391106356441571,1.8132971331663,4.99140909515351e-05,0.00281182712360314,0.00243440654114504,3030,"tags=40%, list=22%, signal=31%","MTBP/HDAC1/CDK2/MCM6/CDC23/CDK4/ANAPC1/TTK/MCM4/RBL1/MCM2/CDK6/MAD2L2/ANAPC2/CDC7/PPP2R5C/ANAPC4/YWHAZ/CCND1/CDCA5/TGFB3/ATM/SKP2/AURKB/RBL2/ANAPC10/SMAD4/TRIP13/CCNE1/PPP2R5E/CCND3/E2F5/MCM7/ANAPC13/RB1/SMAD3/ANAPC5/YWHAH/CDC25B/CDC16/PPP2CA/CDT1/BUB3/CDK7/MAD1L1/CCNE2/ANAPC11/BUB1/MDM2/YWHAB/ABL1/YWHAQ/WEE1/CCNB2"
"hsa04142","hsa04142","Lysosome",126,0.383446866017409,1.76281856585118,0.000104842744601261,0.00475771912545679,0.00411910905287134,2104,"tags=31%, list=15%, signal=26%","GALC/AP4E1/AP3M1/HEXB/GNPTG/NCOA7/NPC1/GUSB/NPC2/CLN5/MFSD8/SCARB2/GLB1/FUCA1/ATP6V1H/GNS/AP4B1/SLC11A2/GLA/LAMP1/NAGPA/CTSH/LAPTM4B/MANBA/SUMF1/CTSK/NEU1/SGSH/AP3B1/GGA2/LAMP3/ATP6V0A2/CLTCL1/AP3S1/IDUA/NAGA/AP1S1/LAPTM5/ATP6AP1"
"hsa05017","hsa05017","Spinocerebellar ataxia",121,0.385086437468767,1.75889382246792,0.000112608736697202,0.00475771912545679,0.00411910905287134,2243,"tags=31%, list=16%, signal=27%","ATP2A2/PIK3R4/PSMD9/MAPK9/TBP/PSMD7/CYCS/PSMB5/VDAC3/RYR1/PSMC1/PSMB3/PSMB6/PSMD12/PSMB4/PSMC2/PSMB2/PSMA1/PSMD3/TRAF2/AFG3L2/ITPR1/PSMA5/PSMA6/PSMB7/ITPR3/PUM2/SLC25A4/NFYA/PSMC4/PSMD6/SLC25A5/ERN1/XBP1/OPA1/PSMD2/PUM1/VDAC1"
"hsa03060","hsa03060","Protein export",21,0.638152676881905,2.02311993150346,0.000226219016215805,0.00832710591605222,0.00720939098306608,3263,"tags=67%, list=24%, signal=51%","SPCS1/SRP14/HSPA5/SRPRB/SPCS3/SRP54/SRP19/IMMP2L/OXA1L/SEC61A1/SEC61A2/SEC61G/SRP68/UBL4A"
"hsa05020","hsa05020","Prion disease",220,0.32524717665805,1.61513329594433,0.000246364080356575,0.00832710591605222,0.00720939098306608,1924,"tags=26%, list=14%, signal=23%","PSMD9/MAPK9/NDUFB8/PSMD7/CYCS/PSMB5/VDAC3/CSNK2A2/RYR1/COX4I1/PSMC1/PSMB3/PSMB6/PSMD12/PSMB4/NDUFV2/CCL5/NDUFS8/PSMC2/NDUFA12/HSPA5/PSMB2/UQCRFS1/PPP3CB/NDUFA9/CREB3L2/PSMA1/PSMD3/NDUFA1/COX5B/NDUFV1/NDUFA7/LAMC1/NDUFB7/NDUFA8/ITPR1/PSMA5/NDUFB5/CYC1/PSMA6/PSMB7/ATF2/ITPR3/COX8A/PRKACB/NDUFA11/MAPK13/UQCRC1/PPP3CC/CYBA/SLC25A4/CAV1/PSMC4/PSMD6/SLC25A5/COX5A/KIF5B"
"hsa00190","hsa00190","Oxidative phosphorylation",95,0.405360985396652,1.7798760180466,0.00029236354385652,0.00898353434759127,0.00777770958776198,4201,"tags=53%, list=31%, signal=37%","ATP6V1E2/NDUFB8/CYCS/COX4I1/NDUFV2/NDUFS8/NDUFA12/UQCRFS1/ATP6V1H/NDUFA9/NDUFA1/COX5B/NDUFV1/NDUFA7/NDUFB7/NDUFA8/NDUFB5/CYC1/ATP6V1E1/COX8A/NDUFA11/UQCRC1/COX17/ATP6V0E1/COX5A/ATP6V0A2/ATP6AP1/COX7A2/ATP6V1F/PPA1/NDUFS3/COX7C/ATP6V1D/COX10/ATP6V1G2/NDUFB11/SDHC/NDUFS5/ATP6V1C1/NDUFB2/NDUFA3/NDUFS4/NDUFS1/ATP6V1B2/NDUFA10/NDUFS7/UQCRH/NDUFB6/COX11/SDHB"
